"ID","Name","Source","Repository","License","Language","Formats","Tags","Duplicates","Elements","Relationship","Views"
"2ab2e079-ef01-4293-b00b-7e18cb578fdf","Portal Cliente","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","54","66","4"
"0acea278","FastClaim","GitHub","myth/trashcan","GNU General Public License v2.0","en","XML,CSV,JSON,ARCHIMATE","","0","28","38","1"
"f9e55ffd","10 Record Set","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","108","134","1"
"37aeccac","(new model)","GitHub","dniel/blogr-pve","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","46","56","2"
"_QCVd8LDFEe2iMaDbHjOx0Q","architecture","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","20","11","1"
"_0AVyEPp7EemPd5ZtCQMxVQ","1c-study-mobilebank","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","102","89","1"
"_UfZEgNtgEeyR_KDGOPNL5w","running exemple","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","18","21","1"
"id-4f2a2c52-59ba-4d97-9e55-9259ed06f36c","Interoperability testing snippet-2","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","25","24","1"
"4031ec40","10 Special Case","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","21","25","1"
"059db8b6","Ronda","GitHub","stutzlab/tracker","Unspecified","en","ARCHIMATE,XML,CSV,JSON","","0","56","50","2"
"id-EAPK_36D3BFD2_A1AC_42da_9D2E_8D2E2E9D3C0C","Directive on Management of Information Technology (DMIT) (2018)","GitHub","canada-ca/architecture","MIT License","en","XML,CSV,JSON,ARCHIMATE","","0","259","59","3"
"d939a040-238b-4789-8d88-4ac8e2426366","Buna","GitHub","FlightControl-Master/DXC","Not found","en","XML,CSV,JSON,ARCHIMATE","WARNING","0","184","285","22"
"f5937b69-c4fe-490b-86d9-e6e3be6e2f46","toop-goopra-2-3","GitHub","TOOP4EU/toop-goopra-models","Apache License 2.0","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","2","157","279","44"
"f7e27de7","4a Identity Field","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","44","66","1"
"8133bf64","Web Service Application","GitHub","CapgeminiNorway/AgileArchitect","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","14","18","1"
"38954f5e","needless-compass","GitHub","jewzaam/needless-compass","GNU General Public License v3.0","en","XML,CSV,JSON,ARCHIMATE","","0","12","11","1"
"0d8270d9","1 Transaction Script","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","13","15","1"
"_o-uY8EJhEeyo8oS76GR6Gg","enterprise","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","15","33","2"
"b188d141","2 generic subdomains","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","23","49","1"
"744526c2","5 conceptual contours","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","15","10","1"
"1d703f78","everything","GitHub","mmorga/archimate-diff","Apache License 2.0","en","XML,CSV,JSON,ARCHIMATE","WARNING","0","63","21","2"
"id-ec8a8e99","JD Edwards Main Concept Reference Model","GitHub","phalix/DocumentDrivenArchimate","MIT License","en","XML,JSON","DUPLICATE","2","52","8","4"
"ac1e53f9","Prototype","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE,WARNING","1","25","38","2"
"id-92ebae0b58ee4ba295d6c64d8229e1a3","WSO2 Training","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","56","135","8"
"_xGZdwGr7EeqJq9Vex_oBDg","miconsulado","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","16","17","1"
"7b8f2a6a","Managed Object","GitHub","CapgeminiNorway/AgileArchitect","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","4","16","19","1"
"fb68781b-9875-43b8-85e4-15f3cd6b4d6c","SDS","GitHub","bwgartner/suse-doc","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","61","40","1"
"id-2e02c87e-ba46-4607-b122-61343f815954","RHPAM","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","38","45","1"
"_L7geEO1nEei9dNtZPq67hQ","Monolith - Allied Employee Boarding","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","16","17","1"
"2aec1976-7608-4ba5-ab9d-2ffd86564d4f","onix","GitHub","gatblau/onix","Apache License 2.0","en","XML,CSV,JSON,ARCHIMATE","","0","37","28","2"
"a6883dfa","4 shared kernel","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","62","132","3"
"_4uCRQFJUEeqesv9gci-YTQ","medicinia-applications-and-databases","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","15","33","1"
"6a1178b4","Types of consistency","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","30","26","1"
"0af1123e-2d6d-48a4-85ae-aed41e06bf84","Pattern171: Financials","GitHub","robertorgarcia/EAPatterns","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","67","113","6"
